Timestamp,Conductance,SCL_local,Threshold,SCR_Peak,Trigger,SCR_Latency_s,SCL_Baseline,SCL_Global,latitude,longitude,runId,study,name,birthYear,gender
2025-11-06 15:06:38,5.030208612525686,5.001611338719353,5.076611338719353,0,0,,5.099730162682979,5.087828589357252,48.7498683,9.2901486,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:39,5.025023611696087,5.007669812765632,5.082669812765632,0,0,,5.102348559539094,5.098996763079304,48.7499008,9.2901271,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:40,5.045404653418592,5.016005698714759,5.091005698714759,0,0,,5.105028518776795,5.110252355440055,48.7499351,9.290103,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:41,5.104832739850162,5.0304957818024025,5.105495781802403,0,0,,5.107762843113548,5.121504150290639,48.7499716,9.2900747,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:42,5.1950517542852035,5.0533137739148195,5.12831377391482,0,0,,5.11054427515549,5.132662102702632,48.7500131,9.2900427,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:43,5.269237150770252,5.080850116782173,5.155850116782173,0,0,,5.113365537853984,5.143638468980737,48.7500522,9.290009,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:44,5.3088824648058095,5.109236002093146,5.184236002093146,0,0,,5.11621937443701,5.154348876881078,48.7500923,9.289972,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:45,5.315543196640758,5.136864079590561,5.211864079590561,1,0,13.0,5.119098587453846,5.164713306597027,48.7501323,9.2899422,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:46,5.304136194815637,5.16339134152723,5.2383913415272305,0,0,,5.121996076589833,5.174656956429038,48.7501783,9.2899085,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:47,5.2804447294865415,5.187876510829472,5.262876510829472,0,0,,5.124904874939332,5.184110973249699,48.7502101,9.2898808,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:48,5.262057918852344,5.211061441462138,5.286061441462138,0,0,,5.127818183464885,5.19301303580699,48.7502421,9.2898508,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:49,5.242248766076581,5.232783956900188,5.307783956900188,0,0,,5.130729403413751,5.201307787194302,48.7502774,9.2898227,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:50,5.22632129774987,5.250875621333316,5.325875621333316,0,0,,5.13363216650475,5.208947120321792,48.7503107,9.2897974,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:51,5.222013758599124,5.262593723208212,5.3375937232082125,0,0,,5.136520362736179,5.215890326296153,48.7503497,9.2897758,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:52,5.2169484116348235,5.264783388943174,5.339783388943174,0,0,,5.139388165698446,5.222104120043685,48.7503893,9.2897496,12,Neckarhalde,Peter,5031975,female
2025-11-06 15:06:53,5.212600987862312,5.25911977265238,5.334119772652381,0,0,,5.142230055303257,5.227562560384817,48.7504144,9.2897236,12,Neckarhalde,Peter,5031975,female
